"Month,First_Expression,Review,Rating,Bert_sentiment,distilbert_sentiment"
"""Sep, 2022"",Very Good,very nice phone,4,5,Positive"
"""Oct, 2022"",Good choice,Nic Mobile,4,5,Positive"
"""Oct, 2022"",Simply awesome,Nice,5,5,Positive"
"""Oct, 2022"",Fabulous!,I am very glad to get my phone,5,5,Positive"
"""Sep, 2022"",Terrific,Got the device on BBD sale at the lowest revealed price and got delivered next day. The product is genuine and working perfectly fine.The service provided by Flipkart is excellent and fastest delivery.,5,5,Positive"
"""Oct, 2022"",Awesome,A great buy! Worth it ! And I got an authentic phone,5,5,Positive"
"""Oct, 2022"",Nice product,built quality very good....battery drain issue.Camera quality good....,4,5,Positive"
"""Oct, 2022"",Perfect product!,Such an awesome phone it is.. everything is awesome in this phone.,5,5,Positive"
"""Oct, 2022"",Must buy!,Nice phone but sometimes heating issue. Thanks for Flipkart,5,3,Positive"
"""Oct, 2022"",Brilliant,Simply everything is excellent,5,5,Positive"
"""Oct, 2022"",Worth every penny,Good Mobile phones good 👍👍👍👍👍👍👍👍👍👍,5,5,Positive"
"""Oct, 2022"",Great product,""top phone, slick features and truly one of a kind experience."",5,5,Positive"
"""Oct, 2022"",Worth every penny,Upgraded From iPhone 11 Best Decision Ever,5,5,Positive"
"""Oct, 2022"",Worth every penny,Its awsome,5,5,Positive"
"""Oct, 2022"",Perfect product!,Mind-blowing outstanding my dream become true now..,5,5,Positive"
"""Oct, 2022"",Awesome,Osm,5,5,Positive"
"""Oct, 2022"",Very Good,Nice..!! Worth buying below 50k..,4,5,Positive"
"""Oct, 2022"",Just wow!,I love i phone,5,5,Positive"
"""Oct, 2022"",Brilliant,Amazed with this product fantastic performance,5,5,Positive"
"""Oct, 2022"",Wonderful,Genuine product awesome phone,5,5,Positive"
"""Oct, 2022"",Really Nice,Moving from android to ios with this iPhone 13 gives different experience. Unique design and structure. As of now good experience.Apple should have opted to customer for a charger. The user can decide whether they need a charger or not.,4,5,Positive"
"""Oct, 2022"",Worth every penny,""It is a very great experience itself ,anyways brand matters."",5,5,Positive"
"""Oct, 2022"",Worth the money,Good,4,4,Positive"
"""Oct, 2022"",Great product,Magnificent piece of tech,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Overall Nice experience.,5,5,Positive"
"""Oct, 2022"",Fabulous!,Nice mobile,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Excellent product,5,5,Positive"
"""Oct, 2022"",Awesome,Best 🤳,5,5,Positive"
"""Oct, 2022"",Terrific,Awesome phone. Loved it.,5,5,Positive"
"""Oct, 2022"",Highly recommended,Mind blowing camera,5,5,Positive"
"""Oct, 2022"",Good quality product,Value of brand,4,5,Positive"
"""Oct, 2022"",Must buy!,Loved it,5,5,Positive"
"""Oct, 2022"",Nice product,Excellent flipcart .....!,4,5,Positive"
"""Oct, 2022"",Just wow!,Just amazing,5,5,Positive"
"""Oct, 2022"",Good quality product,Awesome 👍🏻 😎,4,5,Positive"
"""Oct, 2022"",Fabulous!,Good,5,5,Positive"
"""Oct, 2022"",Best in the market!,Awesome,5,5,Positive"
"""Sep, 2022"",Really Nice,""Just amazing,but Google pixel is far beeter thn this."",4,5,Positive"
"""Oct, 2022"",Excellent,Awesome just Awesome,5,5,Positive"
"""Sep, 2022"",Perfect product!,Superb,5,5,Positive"
"""Oct, 2022"",Terrific,Amazing,5,5,Positive"
"""Sep, 2022"",Awesome,Thanks flipkart for the amazing deal,5,5,Positive"
"""Oct, 2022"",Fabulous!,Flipkart you awesome,5,5,Positive"
"""Oct, 2022"",Simply awesome,""iPhone 13 brighter display, long battery and powerful cameras. Thank you Flipkart. Happy 😃"",5,5,Positive"
"""Oct, 2022"",Fabulous!,Good product 👍,5,5,Positive"
"""Oct, 2022"",Fabulous!,Good,5,5,Positive"
"""Oct, 2022"",Simply awesome,Very good phone😍,5,5,Positive"
"""Oct, 2022"",Really Nice,Simple excellent..,4,5,Positive"
"""Oct, 2022"",Best in the market!,Superb,5,5,Positive"
"""Oct, 2022"",Classy product,Very good deal thanks Flipkart,5,5,Positive"
"""Oct, 2022"",Terrific,Masterpiece by Apple....thanks Flipkart ...speedy delivery 🙏,5,5,Positive"
"""Sep, 2022"",Worth every penny,Superb,5,5,Positive"
"""Oct, 2022"",Fabulous!,Same as 12,5,5,Positive"
"""Oct, 2022"",Good,Blue Colour is soo dirty,3,4,Positive"
"""Sep, 2022"",Awesome,Cheapest price on deal,5,5,Positive"
"""Sep, 2022"",Mind-blowing purchase,Excellent,5,5,Positive"
"""Oct, 2022"",Perfect product!,Awesome,5,5,Positive"
"""Oct, 2022"",Awesome,I like it,5,5,Positive"
"""Sep, 2022"",Super!,Ok,5,5,Positive"
"""Oct, 2022"",Really Nice,Nice product,4,5,Positive"
"""Oct, 2022"",Super!,Best 👍,5,5,Positive"
"""Oct, 2022"",Super!,Good,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Awesome,5,5,Positive"
"""Dec, 2022"",Brilliant,Super,5,5,Positive"
"""Oct, 2022"",Pretty good,Good and Genuine Product. Thank you.,4,4,Positive"
"""Oct, 2022"",Perfect product!,""Performance great from the beginning , No doubt about Apple Products ,"",5,5,Positive"
"""Oct, 2022"",Terrific,Performance is good..No Macro Photography,5,5,Positive"
"""Oct, 2022"",Classy product,iPhone product Completed best minor problem battery minor otherwise best product,5,4,Positive"
"""Oct, 2022"",Perfect product!,Unbelievable product,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Camera is best display is also pretty excellent battery backup is less approx 7hours without much usage after update the battery backup is reduced design and lookwise is perfect we know we buy it for the performance and name logo of company,5,4,Positive"
"""Oct, 2022"",Classy product,""Best product, fastest posible delivery with best price - Flipkart thank you"",5,5,Positive"
"""Oct, 2022"",Delightful,Perfect and beautiful mobile I love it,4,5,Positive"
"""Oct, 2022"",Worth every penny,Worth for money ❤️,5,5,Positive"
"""Oct, 2022"",Fabulous!,Best hone,5,5,Positive"
"""Oct, 2022"",Wonderful,very good,5,5,Positive"
"""Oct, 2022"",Awesome,Super,5,5,Positive"
"""Oct, 2022"",Best in the market!,Just wow,5,5,Positive"
"""Oct, 2022"",Simply awesome,Loved it😘🔥❤️,5,5,Positive"
"""Oct, 2022"",Terrific,Premium device ❤️👌Ultimate performance,5,5,Positive"
"""Oct, 2022"",Best in the market!,Just Awsome ❤️,5,5,Positive"
"""Oct, 2022"",Just wow!,Perfect phone.👍,5,5,Positive"
"""Oct, 2022"",Worth every penny,Nice,5,5,Positive"
"""Oct, 2022"",Highly recommended,Simply awesome 👌,5,5,Positive"
"""Oct, 2022"",Wonderful,Supper,4,5,Positive"
"""Oct, 2022"",Value-for-money,""Good one, finally got in flipkart sale at best price ever.Blue color is good."",4,5,Positive"
"""Oct, 2022"",Worth every penny,First iPhone in my life and is super classic phone i love it,5,5,Positive"
"""Oct, 2022"",Brilliant,""It's worth buying guys. Before purchasing i was so confuse if it will be original one or not. But it is, so one can purchase here and enjoy the luxury phone."",5,5,Positive"
"""Oct, 2022"",Brilliant,""A perfectly balanced smartphone in a very attractive BBD sale price, highly recommended"",5,5,Positive"
"""Oct, 2022"",Brilliant,iPhone 13 I am fast time 🕰️ use I am very happy 😊,5,5,Positive"
"""Oct, 2022"",Brilliant,The camera is awesome. Switching from all other brands available in the market to Apple was worth it.,5,5,Positive"
"""Oct, 2022"",Worst experience ever!,Not good mobile profamance,1,1,Negative"
"""Oct, 2022"",Classy product,Fantastic product,5,5,Positive"
"""Oct, 2022"",Terrific,Just osm ❤️❤️,5,5,Positive"
"""Oct, 2022"",Wonderful,Not bad,4,5,Positive"
"""Sep, 2022"",Awesome,Smooth like butter 😁,5,5,Positive"
"""Oct, 2022"",Fabulous!,Genuine product and satisfied with the delivery,5,5,Positive"
"""Oct, 2022"",Classy product,""Got it for 48K at BBD 🔥Upgraded from iPhone 7 Plus to iPhone 13.1. Design is excellent.2. Camera is awesome, Cinematic mode is excellent.3. Battery stays for almost a day."",5,5,Positive"
"""Oct, 2022"",Excellent,Great deal best price original product,5,5,Positive"
"""Oct, 2022"",Simply awesome,Absolutely beautiful phone.Damn look white beauty 🤍,5,5,Positive"
"""Oct, 2022"",Excellent,Wow 👌,5,5,Positive"
"""Oct, 2022"",Awesome,Excellent,5,5,Positive"
"""Oct, 2022"",Classy product,Superb,5,5,Positive"
"""Oct, 2022"",Super!,too good camera battery life and power,5,5,Positive"
"""Oct, 2022"",Wonderful,All good,5,5,Positive"
"""Oct, 2022"",Worth every penny,Superb,5,5,Positive"
"""Oct, 2022"",Highly recommended,Very beautiful 😍Thank you Flipkart 🧚,5,5,Positive"
"""Oct, 2022"",Just wow!,Excellent phone hai,5,5,Positive"
"""Oct, 2022"",Highly recommended,Very good on time delivery,5,5,Positive"
"""Oct, 2022"",Super!,cool,5,5,Positive"
"""Sep, 2022"",Must buy!,Awesome,5,5,Positive"
"""Oct, 2022"",Pretty good,Very good 👍,4,4,Positive"
"""Oct, 2022"",Classy product,Supr,5,5,Positive"
"""Sep, 2022"",Must buy!,Awesome phone,5,5,Positive"
"""Oct, 2022"",Great product,Received phone in good condition. Thanks flipkart...,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Excellent service of flipcark . Phone came in meet and clean condition to me . Dilivery on time product is fabulous.,5,5,Positive"
"""Oct, 2022"",Just wow!,""While the phone works great, having issues with the charging cable that came with the box."",5,4,Positive"
"""Oct, 2022"",Simply awesome,Excellent,5,5,Positive"
"""Oct, 2022"",Wonderful,Good 👍 phone,5,5,Positive"
"""Oct, 2022"",Value-for-money,Front Cam needs a bit improvisation. Overall phone is as good as money.,4,4,Positive"
"""Oct, 2022"",Just okay,Thanks uuuuuu filip kart,3,3,Positive"
"""Oct, 2022"",Super!,Super,5,5,Positive"
"""Oct, 2022"",Best in the market!,I bought iphone 13 and its very handy and good in performance.,5,5,Positive"
"""Oct, 2022"",Great product,Good products,5,5,Positive"
"""Oct, 2022"",Must buy!,Superb quality phone 💝,5,5,Positive"
"""Dec, 2022"",Best in Class!,Best iPhone I have ever used.,5,5,Positive"
"""Oct, 2022"",Just wow!,Overall the best smartphone. iPhone 13 awesome experience,5,5,Positive"
"""Oct, 2022"",Does the job,Good,3,4,Positive"
"""Sep, 2022"",Good quality product,Nice performance and camera,4,5,Positive"
"""Oct, 2022"",Simply awesome,Very happy to have this phon,5,5,Positive"
"""Oct, 2022"",Brilliant,""iPhone 13 best in class, Awesome Camera fastest in speed"",5,5,Positive"
"""Oct, 2022"",Super!,I love iPhone,5,5,Positive"
"""Oct, 2022"",Fabulous!,Great phone. Especially battery life and display are awesome.,5,5,Positive"
"""Oct, 2022"",Fabulous!,Nice phone,5,5,Positive"
"""Oct, 2022"",Super!,""Have some issues with product but on the basis of support from Flipkart now everything is resolved, thanks Flipkart for resolution"",5,4,Positive"
"""Oct, 2022"",Best in the market!,Good image,5,5,Positive"
"""Oct, 2022"",Classy product,Great handset,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Very good,5,5,Positive"
"""Oct, 2022"",Value-for-money,Performs as expected,4,5,Positive"
"""Oct, 2022"",Perfect product!,Thank you,5,5,Positive"
"""Oct, 2022"",Fabulous!,Camera quality is great,5,5,Positive"
"""Oct, 2022"",Fair,Super phone but not for normal user...,3,4,Positive"
"""Oct, 2022"",Terrific purchase,Amazing,5,5,Positive"
"""Oct, 2022"",Super!,Its a perfect oneEverything is good 😍💯,5,5,Positive"
"""Sep, 2022"",Fabulous!,excellent product and great service from flipkart.,5,5,Positive"
"""Oct, 2022"",Awesome,Excellent product,5,5,Positive"
"""Sep, 2022"",Terrific purchase,Perfect,5,5,Positive"
"""Oct, 2022"",Must buy!,I gifted this to My friend. He is so much happy.👍,5,5,Positive"
"""Oct, 2022"",Must buy!,It's iPhone. It doesn't need a review :),5,5,Neutral"
"""Oct, 2022"",Mind-blowing purchase,Great,5,5,Positive"
"""Oct, 2022"",Awesome,Comfortable and one handed phone,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Nice Phone.,5,5,Positive"
"""Oct, 2022"",Classy product,Best camera,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Very good,5,5,Positive"
"""Oct, 2022"",Classy product,Very good,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Veye good work,5,4,Positive"
"""Oct, 2022"",Best in the market!,Nice phone with superb camera and battery,5,5,Positive"
"""Oct, 2022"",Very Good,""I am not going to write a review for the phone itself as we already know iphones(their pros or cons 🙂). This is about Flipkart service(delivery etc.). This is the costliest thing I have bought from Flipkart. I was skeptical after reading those horror stories of fraud deliveries online(specially iphones). Also, was worried about the OBD(if wishmaster denies?!). But after receiving the phone and checking everything (serial number, IMEI etc. during OBD) I am SATISFIED. The delivery guy was frie..."",5,4,Negative"
"""Oct, 2022"",Simply awesome,Love it❤,5,5,Positive"
"""Oct, 2022"",Terrific purchase,I love this Brand ❤️❤️❤️❤️,5,5,Positive"
"""Oct, 2022"",Must buy!,Amazing,5,5,Positive"
"""Oct, 2022"",Just wow!,Good,5,5,Positive"
"""Oct, 2022"",Simply awesome,Felling Excited for me 😍📱,5,5,Positive"
"""Oct, 2022"",Brilliant,My first iphoneDevice is soo smooth no lags or hiccupsOnly con is refresh rate only 60hz,5,5,Positive"
"""Oct, 2022"",Awesome,Good experience using since 12 days its awesome to shift from Android to ios❤❤😊👍,5,5,Positive"
"""Oct, 2022"",Pretty good,Same camera no special feature is added otherwise design looks good performance is as usual and battery backup is excellent,4,4,Positive"
"""Oct, 2022"",Awesome,Awsome iphone👌 in best price dealGood Camera clarity and cinematic video mode feature.,5,5,Positive"
"""Oct, 2022"",Excellent,Best,5,5,Positive"
"""Oct, 2022"",Wonderful,Beautiful phone. I love it. Camera is awesome and picture quality was amazing . Thank you Flipkart,5,5,Positive"
"""Dec, 2022"",Awesome,Excellent Phone especially Battery Camera Design and Display,5,5,Positive"
"""Oct, 2022"",Highly recommended,Amazing in hand feel. Display is too good.. camera not upto the mark.,5,5,Positive"
"""Oct, 2022"",Useless product,heating issue.,1,1,Positive"
"""Oct, 2022"",Does the job,Awesome product 🤩🤩✌️✌️,4,5,Positive"
"""Sep, 2022"",Great product,Wonderful,5,5,Positive"
"""Oct, 2022"",Really Nice,Almost good,4,5,Positive"
"""Oct, 2022"",Good quality product,As usual Apple products are awesome.,4,5,Positive"
"""Oct, 2022"",Nice,Superb phon,3,5,Positive"
"""Oct, 2022"",Not recommended at all,Bettery waste,1,1,Negative"
"""Oct, 2022"",Great product,Excellent 👍,5,5,Positive"
"""Oct, 2022"",Must buy!,Nice product,5,5,Positive"
"""Oct, 2022"",Perfect product!,Good product having good looking,5,5,Positive"
"""Oct, 2022"",Classy product,""Got 256gb one on BBD. Sold the old one at a good price too. Happy with it. From android to iOS. Finally, in apple ecosystem. I already use an iPad and Apple TV. I need windows OS for work so not moving yet to MacBook.I have used android flagships in the yesteryears. User experience in iOS is at a different level, fluidic. Android is good also depends on the UI."",5,5,Positive"
"""Oct, 2022"",Fabulous!,The best mobile ever,5,5,Positive"
"""Oct, 2022"",Brilliant,Wow just awesome 😎,5,5,Positive"
"""Oct, 2022"",Wonderful,Superb,4,5,Positive"
"""Oct, 2022"",Brilliant,Good performance,5,5,Positive"
"""Oct, 2022"",Awesome,Good phone,5,5,Positive"
"""Oct, 2022"",Pretty good,Best of birthday gift for friends,4,4,Positive"
"""Sep, 2022"",Great product,Amazing phone I bought it on BBD sale for my wife and everything is perfect in this phone..,5,5,Positive"
"""Oct, 2022"",Perfect product!,Nice Camera,4,5,Positive"
"""Oct, 2022"",Fabulous!,Awesome,5,5,Positive"
"""Oct, 2022"",Awesome,Superb,5,5,Positive"
"""Oct, 2022"",Super!,Fabulous,5,5,Positive"
"""Sep, 2022"",Simply awesome,Awsm,5,5,Positive"
"""Oct, 2022"",Worth every penny,Excellent,5,5,Positive"
"""Oct, 2022"",Awesome,Great Product,5,5,Positive"
"""Oct, 2022"",Simply awesome,An awesome purchase,5,5,Positive"
"""Oct, 2022"",Just wow!,Very Good Choice.,5,5,Positive"
"""Oct, 2022"",Fabulous!,I loved it. It took little time in delivery but was delivered in time.. overall all my Flipkart experience is very good .,5,5,Positive"
"""Oct, 2022"",Best in the market!,nc best one,5,5,Positive"
"""Oct, 2022"",Perfect product!,Superb phone,5,5,Positive"
"""Oct, 2022"",Just wow!,Satisfied,5,5,Positive"
"""Oct, 2022"",Perfect product!,Awesome,5,5,Positive"
"""Oct, 2022"",Highly recommended,Super phone. Superb.,5,5,Positive"
"""Oct, 2022"",Excellent,""Best in experience, rather wasting money on 14 this comes with same specifications and same chipset"",5,5,Positive"
"""Oct, 2022"",Terrific,Fantastic,5,5,Positive"
"""Oct, 2022"",Classy product,Stylish Mobile 😘😘,5,5,Positive"
"""Sep, 2022"",Perfect product!,My first iphone and its a ver great experience love the camera performance however the battery backup is lottle low still a great all rounder,5,5,Positive"
"""Oct, 2022"",Just wow!,Amazing quality camera,5,5,Positive"
"""Oct, 2022"",Great product,Good product.,5,5,Positive"
"""Nov, 2022"",Terrific,Good,5,5,Positive"
"""Oct, 2022"",Just wow!,Good,5,5,Positive"
"""Oct, 2022"",Good,Camera : other cameras are perfectNight mode in not that goodBattery: Long battery lifeDesing: Hardware is unbelievable.Ueing Exp: App settings are very complex and that back button is totally a garbage.I think i will be used to it in sometime.,3,3,Positive"
"""Oct, 2022"",Classy product,Upgrade battery backup,5,5,Positive"
"""Oct, 2022"",Best in the market!,Overall good,5,5,Positive"
"""Oct, 2022"",Good choice,Good,4,4,Positive"
"""Oct, 2022"",Excellent,No need a review for iPhone,5,5,Neutral"
"""Oct, 2022"",Wonderful,Upgraded IPhone 7 to IPhone 13First impression is excellent phone in terms of Speed and Camera quality 🙌🙌,5,5,Positive"
"""Oct, 2022"",Brilliant,Good 👍👍👍,5,5,Positive"
"""Oct, 2022"",Worth every penny,""Very nice camera, display, performance, battery etc."",5,5,Positive"
"""Oct, 2022"",Really Nice,Good deal but paid little bit more amount,4,4,Positive"
"""Oct, 2022"",Worthless,Worst,1,1,Positive"
"""Oct, 2022"",Great product,Its My first iphone and I am flattened by its design and features like camera and apple ios👌.. availed the best deal during bbd sale.,5,5,Positive"
"""Oct, 2022"",Simply awesome,Best Phone 🔥❤️,5,5,Positive"
"""Oct, 2022"",Good quality product,Good performance phone with a nice camera and good battery backup. Design looks classy with the Midnight colour variant.,4,4,Positive"
"""Oct, 2022"",Wonderful,Awesome experience,4,5,Positive"
"""Oct, 2022"",Great product,Excellent product,5,5,Positive"
"""Oct, 2022"",Great product,Brilliant,5,5,Positive"
"""Oct, 2022"",Very Good,Good Phone,4,5,Positive"
"""Oct, 2022"",Awesome,Best,5,5,Positive"
"""Oct, 2022"",Brilliant,Awesome,5,5,Positive"
"""Oct, 2022"",Wonderful,Awesome,5,5,Positive"
"""Oct, 2022"",Super!,Good products,5,5,Positive"
"""Oct, 2022"",Excellent,Awesome product,5,5,Positive"
"""Sep, 2022"",Perfect product!,Best phone ever at this price range..and thanks to the delivery person he delivered at right time..,5,5,Positive"
"""Oct, 2022"",Must buy!,One of the best mobile phone.,5,5,Positive"
"""Sep, 2022"",Just wow!,Awesome,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Super phoneJust go for it,5,5,Positive"
"""Oct, 2022"",Utterly Disappointed,Good,1,1,Positive"
"""Oct, 2022"",Mind-blowing purchase,Powerful product,5,5,Positive"
"""Oct, 2022"",Fair,Performance is not very smooth. It hangs in between,4,3,Neutral"
"""Oct, 2022"",Delightful,One of the best perches under 48k😊,4,5,Positive"
"""Oct, 2022"",Really Nice,😍😍 looking good and feel like premium,4,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Really liked it,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Wonderful experience,5,5,Positive"
"""Oct, 2022"",Wonderful,Nice,5,5,Positive"
"""Oct, 2022"",Best in the market!,Great deal grabed,5,5,Positive"
"""Oct, 2022"",Absolute rubbish!,Broken piece,5,1,Negative"
"""Oct, 2022"",Fabulous!,This is my first apple product and I am totally satisfied. Soo smoth to use and camera is too good as well as the performance,5,5,Positive"
"""Oct, 2022"",Wonderful,Super 👌,5,5,Positive"
"""Oct, 2022"",Awesome,value for money,5,5,Positive"
"""Oct, 2022"",Worth every penny,Nothing to say about this product,5,5,Neutral"
"""Oct, 2022"",Awesome,Nice product.... just check what you recieve before giving otp,5,5,Positive"
"""Oct, 2022"",Perfect product!,Great product from Apple..The main camera produces really great images in all lighting condition.. Giving very good battery life.. ios16 is very fluid and RAM management is ultimate.. Excellent build quality..,5,5,Positive"
"""Oct, 2022"",Great product,I love it ✌🏻❤️💯,5,5,Positive"
"""Oct, 2022"",Simply awesome,Incredible,5,5,Positive"
"""Oct, 2022"",Fabulous!,Value for money.,5,5,Positive"
"""Oct, 2022"",Fabulous!,As expected 😌,5,5,Positive"
"""Sep, 2022"",Awesome,Just wow😍😍😍😍,5,5,Positive"
"""Oct, 2022"",Delightful,""Overall good product, but slightly heating issue. Apart from it everything excellent loved it . This review after using 15 days."",4,4,Positive"
"""Oct, 2022"",Wonderful,Tq Flipkart,4,5,Positive"
"""Oct, 2022"",Fabulous!,Good phone,5,5,Positive"
"""Oct, 2022"",Good choice,Awesome performance,4,5,Positive"
"""Oct, 2022"",Worth every penny,""i was fearing from online purchase, but original product delivered by flipkart, thank you Flipkart.."",5,5,Positive"
"""Sep, 2022"",Great product,It feels like amazing when you will touch the iPhone!!,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Good,5,5,Positive"
"""Oct, 2022"",Useless product,Pathetic,1,1,Positive"
"""Oct, 2022"",Brilliant,I love it,5,5,Positive"
"""Sep, 2022"",Terrific purchase,best phone ever,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Good,5,5,Positive"
"""Oct, 2022"",Brilliant,Nice,5,5,Positive"
"""Oct, 2022"",Wonderful,One of the best colour 🔥💙💙 love it,5,5,Positive"
"""Oct, 2022"",Just wow!,Amazing product,5,5,Positive"
"""Oct, 2022"",Very Good,Ok good mobile,4,4,Positive"
"""Oct, 2022"",Excellent,Excellent,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Classy product.. Camera performance is best in the market. Very bright display but the phone heats a little sometimes. Very happy with the purchase.,5,4,Positive"
"""Oct, 2022"",Value-for-money,""I used one month after purchase then i wite this review camera is good but not excellent good phone but not excellent , the performance is too good but battery is bad I charger the phone 2 times in a day with my busy schedule nice experience in one month and i am happy not very happy with the colours i like the purple but they not launch 13 with purple colour and display is very good and comfortable phone i give 3.5 out of 5"",3,3,Negative"
"""Oct, 2022"",Mind-blowing purchase,Amazing Phone A1 Performance Camera Is beauty...,5,5,Positive"
"""Oct, 2022"",Classy product,Loved it!!!!!!!,5,5,Positive"
"""Oct, 2022"",Best in the market!,Best of the price,5,5,Positive"
"""Oct, 2022"",Wonderful,When talks about Apple.. It's all excellent,5,5,Positive"
"""Oct, 2022"",Highly recommended,Good product,5,5,Positive"
"""Oct, 2022"",Simply awesome,Awesome Product,5,5,Positive"
"""Oct, 2022"",Just wow!,Got the best deal,5,5,Positive"
"""Oct, 2022"",Simply awesome,Apple Is very Fast procesar and excellent built quality,5,5,Positive"
"""Oct, 2022"",Worth every penny,Overall phone is good,5,4,Positive"
"""Oct, 2022"",Great product,Nice,5,5,Positive"
"""Sep, 2022"",Classy product,Superb,5,5,Positive"
"""Oct, 2022"",Wonderful,Good,4,5,Positive"
"""Oct, 2022"",Got it for - 48K,""Everything is good, but phone heats a lot while charging and also when used for long duration."",4,4,Positive"
"""Oct, 2022"",Worst experience ever!,Display and body gap,1,1,Positive"
"""Oct, 2022"",Perfect product!,nice phone,5,5,Positive"
"""Oct, 2022"",Fabulous!,This phone has no comparison 😍😍,5,5,Neutral"
"""Oct, 2022"",Must buy!,Nice,5,5,Positive"
"""Oct, 2022"",Excellent,Awesome 🤩,5,5,Positive"
"""Nov, 2022"",Great product,Excellent iphone. Best price from Flipkart.,5,5,Positive"
"""Oct, 2022"",Super!,Excellent 🫶🏻,5,5,Positive"
"""Oct, 2022"",Terrific,Good,5,5,Positive"
"""Oct, 2022"",Great product,I love 💕,5,5,Positive"
"""Oct, 2022"",Highly recommended,Excellent Mobile,5,5,Positive"
"""Oct, 2022"",Classy product,Such a beautiful ❤️❤️And Battery life full of Energy,5,5,Positive"
"""Oct, 2022"",Terrific purchase,It's a awesome product,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Super,5,5,Positive"
"""Oct, 2022"",Good choice,Nice,4,4,Positive"
"""Oct, 2022"",Best in the market!,Awesome iPhone edition,5,5,Positive"
"""Oct, 2022"",Terrific,Nice product 👍,5,5,Positive"
"""Oct, 2022"",Excellent,Fabulous 😍,5,5,Positive"
"""Oct, 2022"",Brilliant,Best phone ever purchased ✌️ loved it ❤️❤️,5,5,Positive"
"""Oct, 2022"",Super!,Nice product best camera,5,5,Positive"
"""Oct, 2022"",Nice,Good but at this price range they can provide something more 😂🥱,3,4,Positive"
"""Oct, 2022"",Best in the market!,Looking sexy,5,5,Positive"
"""Oct, 2022"",Good choice,Must have Display 6.5 Inch,4,5,Positive"
"""Oct, 2022"",Does the job,Nice,3,4,Positive"
"""Oct, 2022"",Classy product,Design is awesome 👌🏻Very good camera quality 👌🏻Standard battery backup 👍🏻,5,5,Positive"
"""Oct, 2022"",Excellent,Best product from apple good job by Flipkart thanks,5,5,Positive"
"""Oct, 2022"",Great product,Night mode is fantastic,5,5,Positive"
"""Oct, 2022"",Delightful,Best in class camera and beautiful design .I wish apple works on fast charging as well like most android phones do. Battery might be an issue for heavy users.,4,5,Positive"
"""Oct, 2022"",Worth every penny,""Great product go for it,"",5,5,Positive"
"""Oct, 2022"",Wonderful,It's awesome,5,5,Positive"
"""Oct, 2022"",Best in the market!,Awesome product,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,""value for money..camera, battery display, perfmnce... superb"",5,5,Positive"
"""Oct, 2022"",Great product,Osm jks Awesome gorgeous outstanding excellent,5,5,Positive"
"""Oct, 2022"",Highly recommended,Great,5,5,Positive"
"""Oct, 2022"",Classy product,""This phone for my brother ,he is enjoying"",5,5,Positive"
"""Oct, 2022"",Fabulous!,""Best pefomence ,thnk uhh flipkart for big billion dys sale 😍"",5,5,Positive"
"""Nov, 2022"",Terrific,Brilliant. Beyond words. Got an offer price. So happy.,5,5,Positive"
"""Sep, 2022"",Terrific purchase,The best phone indeed,5,5,Positive"
"""Oct, 2022"",Worth every penny,Excellent phone,5,5,Positive"
"""Oct, 2022"",Worth every penny,Ok,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,I am so happy with this product and this product is mostly working and camera quality is very awesome. Compare by android,5,5,Positive"
"""Oct, 2022"",Terrific,Amazing,5,5,Positive"
"""Oct, 2022"",Great product,Excellent,5,5,Positive"
"""Oct, 2022"",Simply awesome,Nothing to say just wow!!!!! :D,5,5,Neutral"
"""Oct, 2022"",Decent product,Looking so beautiful. And best performance.Mobile size I phone 13 is very well.Camera quality so very good.,3,4,Positive"
"""Oct, 2022"",Highly recommended,good products and best platform to lowest money to buy,5,5,Positive"
"""Oct, 2022"",Worth every penny,Good product,5,5,Positive"
"""Oct, 2022"",Value-for-money,Heat 🔥 issue,4,5,Positive"
"""Oct, 2022"",Brilliant,Nice,5,5,Positive"
"""Oct, 2022"",Pretty good,I phone 13 is almost fine👌,4,4,Positive"
"""Oct, 2022"",Super!,Best in the prize,5,5,Positive"
"""Oct, 2022"",Awesome,Superb,5,5,Positive"
"""Oct, 2022"",Terrific,Nice phone,5,5,Positive"
"""Oct, 2022"",Highly recommended,Awsome camera quality,5,5,Positive"
"""Sep, 2022"",Must buy!,Excellent,5,5,Positive"
